Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;161002;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;9615707.0;11292047.0;11676907.0
2026;AG;161002;l;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;270165.0;333985.0;333985.0
2026;AG;161004;kg;Sicilia;NP;concentrati acquosi, diversi da quelli di cui alla voce 16 10 03;1000.0;1000.0;1000.0
2026;AG;161106;kg;Sicilia;NP;rivestimenti e materiali refrattari provenienti da lavorazioni non metallurgiche, diversi da quelli di cui alla voce 16 11 05;51000.0;51000.0;51000.0
2026;AG;170101;kg;Sicilia;NP;cemento;4271429.0;4409409.0;4920369.0
2026;AG;170103;kg;Sicilia;NP;mattonelle e ceramiche;390.0;390.0;390.0
2026;AG;170107;kg;Sicilia;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;240950.0;241050.0;241050.0
2026;AG;170201;kg;Sicilia;NP;legno;68670.0;74390.0;74740.0
2026;AG;170202;kg;Sicilia;NP;vetro;9110.0;9210.0;9210.0
2026;AG;170203;kg;Sicilia;NP;plastica;42614.0;48057.0;52078.0
2026;AG;170204;kg;Sicilia;P;vetro, plastica e legno contenenti sostanze pericolose o da esse contaminati;39871.0;39871.0;39871.0
2026;AG;170301;kg;Sicilia;P;miscele bituminose contenenti catrame di carbone;14850.0;31850.0;31850.0
2026;AG;170302;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;11329940.0;13617320.0;13617320.0
2026;AG;170401;kg;Sicilia;NP;rame, bronzo, ottone;5400.0;6478.0;6828.0
2026;AG;170402;kg;Sicilia;NP;alluminio;46987.0;48858.0;51608.0
2026;AG;170404;kg;Sicilia;NP;zinco;17700.0;17700.0;17700.0
2026;AG;170405;kg;Sicilia;NP;ferro e acciaio;2594515.0;3458515.0;3466488.0
2026;AG;170407;kg;Sicilia;NP;metalli misti;17322.0;17322.0;17322.0
2026;AG;170411;kg;Sicilia;NP;cavi, diversi da quelli di cui alla voce 17 04 10;16233.0;21473.0;21493.0
2026;AG;170504;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;67287466.0;84190306.0;111129376.0
2026;AG;170506;kg;Sicilia;NP;materiale di dragaggio, diverso da quello di cui alla voce 17 05 05;;;5000000.0
2026;AG;170603;kg;Sicilia;P;altri materiali isolanti contenenti o costituiti da sostanze pericolose;20315.0;24175.0;24475.0
2026;AG;170604;kg;Sicilia;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;2873.0;3228.0;3228.0
2026;AG;170605;kg;Sicilia;P;materiali da costruzione contenenti amianto;109872.0;130592.0;136162.0
2026;AG;170802;kg;Sicilia;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;3100.0;3100.0;3100.0
2026;AG;170903;kg;Sicilia;P;altri rifiuti dell'attività di costruzione e demolizione (compresi rifiuti misti) contenenti sostanze pericolose;5200.0;5700.0;5700.0
2026;AG;170904;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;10617280.0;11277420.0;11399360.0
2026;AG;180101;kg;Sicilia;NP;oggetti da taglio (eccetto 18 01 03);2.0;2.0;2.0
2026;AG;180103;kg;Sicilia;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;2446507.0;2898112.0;2898724.0
2026;AG;180103;l;Sicilia;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;27050.0;27050.0;27050.0
2026;AG;180104;kg;Sicilia;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni (es. bende, ingessature, lenzuola, indumenti monouso, assorbenti igienici);375602.0;442822.0;442822.0
2026;AG;180106;kg;Sicilia;P;sostanze chimiche pericolose o contenenti sostanze pericolose;129722.0;163922.0;163909.0
2026;AG;180106;l;Sicilia;P;sostanze chimiche pericolose o contenenti sostanze pericolose;17.0;18.0;18.0
2026;AG;180107;kg;Sicilia;NP;sostanze chimiche diverse da quelle di cui alla voce 18 01 06;617901.0;721268.0;721268.0
2026;AG;180108;kg;Sicilia;P;medicinali citotossici e citostatici;3277.0;5692.0;5693.0
2026;AG;180109;kg;Sicilia;NP;medicinali diversi da quelli di cui alla voce 18 01 08;6345.0;6433.0;6433.0
2026;AG;180110;kg;Sicilia;P;rifiuti di amalgama prodotti da interventi odontoiatrici;0.0;0.0;0.0
