Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Var_2026-09-07;Var_2026-09-15
2026;AG;170203;kg;Sicilia;NP;plastica;5443.0;4021.0
2026;AG;170204;kg;Sicilia;P;vetro, plastica e legno contenenti sostanze pericolose o da esse contaminati;0.0;0.0
2026;AG;170301;kg;Sicilia;P;miscele bituminose contenenti catrame di carbone;17000.0;0.0
2026;AG;170302;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;2287380.0;0.0
2026;AG;170401;kg;Sicilia;NP;rame, bronzo, ottone;1078.0;350.0
2026;AG;170402;kg;Sicilia;NP;alluminio;1871.0;2750.0
2026;AG;170404;kg;Sicilia;NP;zinco;0.0;0.0
2026;AG;170405;kg;Sicilia;NP;ferro e acciaio;864000.0;7973.0
2026;AG;170407;kg;Sicilia;NP;metalli misti;0.0;0.0
2026;AG;170411;kg;Sicilia;NP;cavi, diversi da quelli di cui alla voce 17 04 10;5240.0;20.0
2026;AG;170504;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;16902840.0;26939070.0
2026;AG;170506;kg;Sicilia;NP;materiale di dragaggio, diverso da quello di cui alla voce 17 05 05;0.0;5000000.0
2026;AG;170603;kg;Sicilia;P;altri materiali isolanti contenenti o costituiti da sostanze pericolose;3860.0;300.0
2026;AG;170604;kg;Sicilia;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;355.0;0.0
2026;AG;170605;kg;Sicilia;P;materiali da costruzione contenenti amianto;20720.0;5570.0
2026;AG;170802;kg;Sicilia;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;0.0;0.0
2026;AG;170903;kg;Sicilia;P;altri rifiuti dell'attività di costruzione e demolizione (compresi rifiuti misti) contenenti sostanze pericolose;500.0;0.0
2026;AG;170904;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;660140.0;121940.0
2026;AG;180101;kg;Sicilia;NP;oggetti da taglio (eccetto 18 01 03);0.0;0.0
2026;AG;180103;kg;Sicilia;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;451605.0;612.0
2026;AG;180103;l;Sicilia;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;0.0;0.0
2026;AG;180104;kg;Sicilia;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni (es. bende, ingessature, lenzuola, indumenti monouso, assorbenti igienici);67220.0;0.0
2026;AG;180106;kg;Sicilia;P;sostanze chimiche pericolose o contenenti sostanze pericolose;34200.0;-13.0
2026;AG;180106;l;Sicilia;P;sostanze chimiche pericolose o contenenti sostanze pericolose;1.0;0.0
2026;AG;180107;kg;Sicilia;NP;sostanze chimiche diverse da quelle di cui alla voce 18 01 06;103367.0;0.0
2026;AG;180108;kg;Sicilia;P;medicinali citotossici e citostatici;2415.0;1.0
2026;AG;180109;kg;Sicilia;NP;medicinali diversi da quelli di cui alla voce 18 01 08;88.0;0.0
2026;AG;180110;kg;Sicilia;P;rifiuti di amalgama prodotti da interventi odontoiatrici;0.0;0.0
2026;AG;180202;kg;Sicilia;P;rifiuti che devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;382.0;0.0
2026;AG;180203;kg;Sicilia;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;0.0;2.0
2026;AG;180203;l;Sicilia;NP;rifiuti che non devono essere raccolti e smaltiti applicando precauzioni particolari per evitare infezioni;0.0;0.0
2026;AG;180208;kg;Sicilia;NP;medicinali diversi da quelli di cui alla voce 18 02 07;0.0;0.0
2026;AG;190106;kg;Sicilia;P;rifiuti liquidi acquosi prodotti dal trattamento dei fumi e altri rifiuti liquidi acquosi;0.0;0.0
2026;AG;190207;kg;Sicilia;P;oli e concentrati prodotti da processi di separazione;0.0;0.0
2026;AG;190501;kg;Sicilia;NP;parte di rifiuti urbani e simili non compostata;447160.0;0.0
2026;AG;190703;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;1450400.0;0.0
2026;AG;190703;l;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;90000.0;0.0
2026;AG;190801;kg;Sicilia;NP;Residui di vagliatura;3280.0;0.0
2026;AG;190802;kg;Sicilia;NP;rifiuti da dissabbiamento;50602.0;0.0
2026;AG;190805;kg;Sicilia;NP;fanghi prodotti dal trattamento delle acque reflue urbane;1281887.0;20000.0
2026;AG;190809;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;4170.0;0.0
