Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AL;060314;D13;kg;Piemonte;NP;sali e loro soluzioni, diversi da quelli di cui alle voci 06 03 11 e 06 03 13;D;30580.0;150630.0;150630.0
2026;AL;060314;D8;kg;Piemonte;NP;sali e loro soluzioni, diversi da quelli di cui alle voci 06 03 11 e 06 03 13;D;584260.0;702150.0;702150.0
2026;AL;060503;D13;kg;Piemonte;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;D;85360.0;85360.0;85360.0
2026;AL;060602;R5;kg;Piemonte;P;rifiuti contenenti solfuri pericolosi;R;721560.0;873060.0;939560.0
2026;AL;070101;R6;kg;Piemonte;P;soluzioni acquose di lavaggio e acque madri;R;12060.0;12060.0;12060.0
2026;AL;070108;R6;kg;Piemonte;P;altri fondi e residui di reazione;R;23260.0;23260.0;23260.0
2026;AL;070213;D13;kg;Piemonte;NP;rifiuti plastici;D;280.0;280.0;280.0
2026;AL;070213;R12;kg;Piemonte;NP;rifiuti plastici;R;114780.0;145190.0;151460.0
2026;AL;070213;R13;kg;Piemonte;NP;rifiuti plastici;R;7020.0;7020.0;7020.0
2026;AL;070213;R3;kg;Piemonte;NP;rifiuti plastici;R;873935.0;972766.0;972766.0
2026;AL;070608;R6;kg;Piemonte;P;altri fondi e residui di reazione;R;426020.0;460050.0;498054.0
2026;AL;070612;D13;kg;Piemonte;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D;21980.0;21980.0;21980.0
2026;AL;070704;R1;kg;Piemonte;P;altri solventi organici, soluzioni di lavaggio e acque madri;R;519088.0;548250.0;570709.0
2026;AL;070708;R1;kg;Piemonte;P;altri fondi e residui di reazione;R;454613.0;640340.0;751500.0
2026;AL;080111;R12;kg;Piemonte;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;R;325.0;325.0;325.0
2026;AL;080112;D13;kg;Piemonte;NP;pitture e vernici di scarto, diverse da quelle di cui alla voce 08 01 11;D;21320.0;21320.0;21320.0
2026;AL;080201;R12;kg;Piemonte;NP;polveri di scarti di rivestimenti;R;10.0;10.0;10.0
2026;AL;080317;R12;kg;Piemonte;P;toner per stampa esauriti, contenenti sostanze pericolose;R;15.0;15.0;15.0
2026;AL;080318;R12;kg;Piemonte;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;R;3298.0;3298.0;3298.0
2026;AL;080318;R5;kg;Piemonte;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;R;3197.0;5421.0;5421.0
2026;AL;080409;R12;kg;Piemonte;P;adesivi e sigillanti di scarto, contenenti solventi organici o altre sostanze pericolose;R;250.0;250.0;250.0
