Anno;Provincia impianto;Regione;Codice EER;Pericoloso;Descrizione EER;Attivita a destinazione;Tipo operazione;Quantita;Unita di misura
2025;AG;Sicilia;200138;NP;legno diverso da quello di cui alla voce 20 01 37;R12;R;1185200;kg
2025;AG;Sicilia;200138;NP;legno diverso da quello di cui alla voce 20 01 37;R13;R;87580;kg
2025;AG;Sicilia;200138;NP;legno diverso da quello di cui alla voce 20 01 37;R3;R;545000;kg
2025;AG;Sicilia;200138;NP;legno diverso da quello di cui alla voce 20 01 37;R5;R;32000;kg
2025;AG;Sicilia;200139;NP;plastica;D13;D;38020;kg
2025;AG;Sicilia;200139;NP;plastica;R12;R;725260;kg
2025;AG;Sicilia;200139;NP;plastica;R13;R;65320;kg
2025;AG;Sicilia;200139;NP;plastica;R3;R;302120;kg
2025;AG;Sicilia;200140;NP;metalli;R12;R;54620;kg
2025;AG;Sicilia;200140;NP;metalli;R3;R;13200;kg
2025;AG;Sicilia;200140;NP;metalli;R4;R;187299;kg
2025;AG;Sicilia;200201;NP;rifiuti biodegradabili;R12;R;98420;kg
2025;AG;Sicilia;200201;NP;rifiuti biodegradabili;R13;R;270544;kg
2025;AG;Sicilia;200201;NP;rifiuti biodegradabili;R3;R;3034815;kg
2025;AG;Sicilia;200203;NP;altri rifiuti non biodegradabili;R5;R;28380;kg
2025;AG;Sicilia;200301;NP;rifiuti urbani non differenziati;D13;D;31339980;kg
2025;AG;Sicilia;200301;NP;rifiuti urbani non differenziati;D15;D;15341880;kg
2025;AG;Sicilia;200301;NP;rifiuti urbani non differenziati;R12;R;2695200;kg
2025;AG;Sicilia;200301;NP;rifiuti urbani non differenziati;R3;R;90000;kg
2025;AG;Sicilia;200301;NP;rifiuti urbani non differenziati;R5;R;560;kg
2025;AG;Sicilia;200302;NP;rifiuti dei mercati;R13;R;880;kg
2025;AG;Sicilia;200302;NP;rifiuti dei mercati;R3;R;7970;kg
2025;AG;Sicilia;200303;NP;residui della pulizia stradale;D13;D;228060;kg
2025;AG;Sicilia;200304;NP;fanghi delle fosse settiche;D8;D;6929300;kg
