report_id;da_run;a_run;tipo_variazione;Provincia;Campo;Regione;Valore_prec;Valore_att;Delta;Stato
59;2026-09-15;2026-09-18;stato attuale (senza anno);FR;di cui Intermediario senza detenzione;Lazio;112;113;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FR;di cui Produttore;Lazio;3092;3108;16;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);FR;di cui Trasportatore;Lazio;470;472;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GE;Numero operatori iscritti;Liguria;4039;4058;19;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GE;Numero unita locali iscritte;Liguria;5348;5376;28;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GE;di cui Produttore;Liguria;4962;4990;28;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GO;Numero operatori iscritti;Friuli Venezia Giulia;851;853;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GO;Numero unita locali iscritte;Friuli Venezia Giulia;1053;1055;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GO;di cui Produttore;Friuli Venezia Giulia;1017;1019;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GO;di cui Recuperatore;Friuli Venezia Giulia;37;38;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GR;Numero operatori iscritti;Toscana;1539;1546;7;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GR;Numero unita locali iscritte;Toscana;1955;1963;8;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GR;di cui Intermediario senza detenzione;Toscana;25;26;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);GR;di cui Produttore;Toscana;1856;1863;7;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IM;Numero operatori iscritti;Liguria;1064;1068;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IM;Numero unita locali iscritte;Liguria;1269;1280;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IM;di cui Produttore;Liguria;1183;1194;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IS;Numero operatori iscritti;Molise;617;621;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IS;Numero unita locali iscritte;Molise;753;764;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IS;di cui Centro di raccolta;Molise;10;12;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IS;di cui Produttore;Molise;688;698;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);IS;di cui Trasportatore;Molise;117;118;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);KR;Numero operatori iscritti;Calabria;746;747;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);KR;Numero unita locali iscritte;Calabria;950;956;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);KR;di cui Produttore;Calabria;854;860;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LC;Numero operatori iscritti;Lombardia;2571;2580;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LC;Numero unita locali iscritte;Lombardia;3161;3170;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LC;di cui Centro di raccolta;Lombardia;58;59;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LC;di cui Produttore;Lombardia;3014;3022;8;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LE;Numero operatori iscritti;Puglia;4076;4099;23;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LE;Numero unita locali iscritte;Puglia;4905;4932;27;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LE;di cui Centro di raccolta;Puglia;105;106;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LE;di cui Produttore;Puglia;4657;4683;26;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LE;di cui Trasportatore;Puglia;573;576;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LI;Numero operatori iscritti;Toscana;1830;1840;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LI;Numero unita locali iscritte;Toscana;2335;2346;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LI;di cui Produttore;Toscana;2229;2240;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LI;di cui Trasportatore;Toscana;268;270;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LO;Numero operatori iscritti;Lombardia;1377;1382;5;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LO;Numero unita locali iscritte;Lombardia;1755;1761;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LO;di cui Produttore;Lombardia;1632;1638;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LO;di cui Trasportatore;Lombardia;151;152;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LT;Numero operatori iscritti;Lazio;3390;3410;20;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LT;Numero unita locali iscritte;Lazio;4022;4039;17;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LT;di cui Centro di raccolta;Lazio;28;29;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LT;di cui Produttore;Lazio;3763;3779;16;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LT;di cui Smaltitore;Lazio;39;37;-2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LT;di cui Trasportatore;Lazio;561;563;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LU;Numero operatori iscritti;Toscana;2504;2507;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LU;Numero unita locali iscritte;Toscana;3292;3296;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);LU;di cui Produttore;Toscana;3130;3134;4;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MB;Numero operatori iscritti;Lombardia;5694;5705;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MB;Numero unita locali iscritte;Lombardia;6739;6752;13;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MB;di cui Produttore;Lombardia;6291;6305;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MB;di cui Trasportatore;Lombardia;974;975;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MC;Numero operatori iscritti;Marche;2527;2537;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MC;Numero unita locali iscritte;Marche;3074;3084;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MC;di cui Produttore;Marche;2906;2915;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);ME;Numero operatori iscritti;Sicilia;2715;2728;13;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);ME;Numero unita locali iscritte;Sicilia;3242;3256;14;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);ME;di cui Produttore;Sicilia;2965;2976;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);ME;di cui Trasportatore;Sicilia;498;501;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MI;Numero operatori iscritti;Lombardia;16802;16863;61;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MI;Numero unita locali iscritte;Lombardia;22086;22157;71;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MI;di cui Centro di raccolta;Lombardia;79;80;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MI;di cui Produttore;Lombardia;20720;20788;68;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MI;di cui Recuperatore;Lombardia;652;653;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MI;di cui Trasportatore;Lombardia;2372;2373;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MN;Numero operatori iscritti;Lombardia;2794;2804;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MN;Numero unita locali iscritte;Lombardia;3541;3552;11;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MN;di cui Produttore;Lombardia;3387;3399;12;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MO;Numero operatori iscritti;Emilia Romagna;4657;4666;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MO;Numero unita locali iscritte;Emilia Romagna;6023;6032;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MO;di cui Produttore;Emilia Romagna;5810;5819;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MO;di cui Trasportatore;Emilia Romagna;511;514;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);MS;Numero operatori iscritti;Toscana;1151;1153;2;riga preesistente
