report_id;da_run;a_run;tipo_variazione;Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Valore_prec;Valore_att;Delta;Stato
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150103;R3;kg;Piemonte;NP;imballaggi in legno;R;6120277.0;6151717.0;31440.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150105;R12;kg;Piemonte;NP;imballaggi compositi;R;544500.0;584510.0;40010.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150106;R12;kg;Piemonte;NP;imballaggi in materiali misti;R;15262488.0;17196318.0;1933830.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;150203;R12;kg;Piemonte;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;R;24582.0;24972.0;390.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;160117;R4;kg;Piemonte;NP;metalli ferrosi;R;215654.0;225523.0;9869.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;160118;R4;kg;Piemonte;NP;metalli non ferrosi;R;196810.0;197810.0;1000.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;160122;R12;kg;Piemonte;NP;componenti non specificati altrimenti;R;33603.0;38103.0;4500.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;160214;R12;kg;Piemonte;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;893866.0;894805.0;939.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;161104;R5;kg;Piemonte;NP;altri rivestimenti e materiali refrattari provenienti da processi metallurgici, diversi da quelli di cui alla voce 16 11 03;R;4006000.0;4018340.0;12340.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;161106;R5;kg;Piemonte;NP;rivestimenti e materiali refrattari provenienti da lavorazioni non metallurgiche, diversi da quelli di cui alla voce 16 11 05;R;2132057.0;2169357.0;37300.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170101;R5;kg;Piemonte;NP;cemento;R;43465540.0;43880480.0;414940.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170103;R5;kg;Piemonte;NP;mattonelle e ceramiche;R;73090.0;83650.0;10560.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170107;R5;kg;Piemonte;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;R;7104170.0;7564210.0;460040.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170203;R12;kg;Piemonte;NP;plastica;R;169525.0;216995.0;47470.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170302;R5;kg;Piemonte;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;49318330.0;49751150.0;432820.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170405;R12;kg;Piemonte;NP;ferro e acciaio;R;89773.0;98013.0;8240.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170407;R4;kg;Piemonte;NP;metalli misti;R;276058.0;280368.0;4310.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170411;R4;kg;Piemonte;NP;cavi, diversi da quelli di cui alla voce 17 04 10;R;490969.0;518649.0;27680.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;170904;R12;kg;Piemonte;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;77560.0;80670.0;3110.0;riga preesistente
